brand,name,type,afterUse,product_t,notable_e,skintype,Sensitive,Combination,Oily,Dry,Normal
Gehwol,Fusskraft Red,Bath & Body,"May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Kracie,Ichikami Smooth and Sleek Shampoo,Shampoo,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Rosacea",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
"Person & Covey, Inc.",Solbar Fifty SPF 50,Sunscreen,"May Worsen Oily Skin,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Clarins,UV Plus Anti-Pollution Sunscreen SPF 50,Sunscreen,"Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination",0.0,1.0,1.0,1.0,1.0
"Person & Covey, Inc.",DHS Color Safe Shampoo,Shampoo,"Reduces Large Pores,Drying,Irritating",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
BCL,AHA Cleansing Research Oil Cleansing Pore Clear,Makeup Remover,"Hydrating,Reduces Large Pores,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
Nivea,Daily Essentials Refreshing Facial Wash Gel,Face Cleanser,"Anti-Aging,Scar Healing,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
Kracie,"Tabi no Yado Clear - Assorted Series Pack (Kusatsu, Noboribetsu, Hakone, & Beppu)",Bath & Body,"Drying,Acne Trigger,Rosacea,Eczema",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
Katy Perry Fragrances,Mad Potion Eau de Parfum,Fragrance,"Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Bed Head by TIGI,Recovery Moisturizing Shampoo for Dry Hair,Shampoo,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Jack Black,Pure Clean Daily Facial Cleanser,Face Cleanser,"Drying,Acne Trigger",,,Oily,0.0,0.0,1.0,0.0,0.0
Nivea,3 in 1 Repair Hand Cream ,Hand Care,"Reduces Irritation,Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,"Normal, Dry, Oily, Combination",0.0,1.0,1.0,1.0,1.0
Paris Hilton Fragrances,Siren Eau de Parfum,Fragrance,"Drying,Irritating,Rosacea",,,"Dry, Oily, Sensitive",1.0,0.0,1.0,1.0,0.0
Wardah,UV Shield Aqua Fresh Essence SPF 50 PA++++ ,Sunscreen,"Reduces Irritation,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination",0.0,1.0,1.0,1.0,1.0
Shiseido,Revitalizing Treatment Softener,Toner,"Reduces Large Pores,Drying,Irritating,Rosacea",,,"Oily, Combination, Sensitive",1.0,1.0,1.0,0.0,0.0
LUSH,Revive Hair Moisturizer,Other Haircare,"May Worsen Oily Skin,Acne Trigger,Irritating",,,"Dry, Oily, Sensitive",1.0,0.0,1.0,1.0,0.0
René Furterer,Lissea Smoothing Shampoo,Shampoo,"Hydrating,Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Eczema",,,"Dry, Oily, Sensitive",1.0,0.0,1.0,1.0,0.0
Lakme,Blush & Glow Strawberry Freshness Gel Face Wash With Strawberry Extracts,Face Cleanser,"Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
King of Shaves,Refreshing Face Wash,Face Cleanser,"Reduces Large Pores,Drying,Irritating,Eczema",,,"Dry, Oily, Sensitive",1.0,0.0,1.0,1.0,0.0
Mane 'n Tail,Herbal Gro Conditioner,Conditioner,"Hydrating,Reduces Irritation,Reduces Large Pores,Drying,Acne Trigger,Irritating",,,"Dry, Oily, Sensitive",1.0,0.0,1.0,1.0,0.0
Pantene,3 Minute Miracle Moisture Renewal Daily Intensive Conditioner with Biotin,Conditioner,"Reduces Irritation,Reduces Large Pores,Drying,Irritating,Eczema",,,"Dry, Oily, Sensitive",1.0,0.0,1.0,1.0,0.0
Dr. Oracle,A-Thera Sunblock SPF 50,Sunscreen,"Good For Oily Skin,Redness Reducing,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Uriage,Roséliane CC Cream SPF50+ ,Face Makeup,"Brightening,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Neutrogena,Revitalizing Lip Balm SPF 20,Lip Moisturizer,"May Worsen Oily Skin,Acne Trigger,Irritating,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Neutrogena,Pure & Free Baby Sunscreen Stick SPF 50,Sunscreen,"May Worsen Oily Skin,Acne Trigger,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Blistex,Deep Renewal Lip Balm,Lip Moisturizer,"Anti-Aging,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Combination",0.0,1.0,0.0,1.0,1.0
Eau Thermale Avène,Cicalfate Lips Repair Balm,Lip Moisturizer,"May Worsen Oily Skin,Acne Trigger",,,Oily,0.0,0.0,1.0,0.0,0.0
Ryor,Denní Krém S Amarantovým Olejem A Hedvábím,Day Moisturizer,"Reduces Large Pores,Anti-Aging,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Ryor,Výživný Krém Exclusive,General Moisturizer,"Reduces Large Pores,Anti-Aging,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Bed Head by TIGI,Dirty Secret Instant Refresh Dry Shampoo,Shampoo,"Acne Trigger,Eczema",,,"Normal, Dry, Combination",0.0,1.0,0.0,1.0,1.0
Tory Burch,Divine Moon Eau De Parfum ,Fragrance,"Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Aveeno,1% Hydrocortisone Anti-Itch Cream,Facial Treatment,"Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Peter Thomas Roth,Acne Clearing Wash,Face Cleanser,"Reduces Irritation,Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating,Rosacea",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Laneige,Moisturizing Cream Cleanser,Face Cleanser,"Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Laneige,Skin Veil Luminizing Base with SPF50,Face Makeup,"Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Vichy,Liftactiv Supreme,General Moisturizer,"Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Armani Beauty,Luminous Silk Perfect Glow Flawless Oil-Free Foundation,Face Makeup,,,,"Normal, Dry, Combination",0.0,1.0,0.0,1.0,1.0
Skinfood,Sunflower Airy Sun Stick SPF 50+ PA++++ ,Sunscreen,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Irritating,Rosacea,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Anne French,Deep Cleansing Milk,Face Cleanser,"May Worsen Oily Skin,Eczema",,,"Normal, Dry, Oily, Combination",0.0,1.0,1.0,1.0,1.0
Ryor,Výživný Krém S Přírodními Oleji ,General Moisturizer,"Reduces Large Pores,Anti-Aging,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Chanel,Le Blanc Intense Brightening Foam Cleanser,Face Cleanser,"Drying,May Worsen Oily Skin,Acne Trigger,Eczema",,,"Normal, Dry, Oily, Combination",0.0,1.0,1.0,1.0,1.0
Neutrogena,Deep Clean Invigorating Foaming Scrub,Exfoliator,"Drying,May Worsen Oily Skin,Rosacea",,,Dry,0.0,0.0,0.0,1.0,0.0
Kérastase,Discipline Heat Protecting Leave-In Treatment For Frizzy Hair,Other Haircare,May Worsen Oily Skin,,,Dry,0.0,0.0,0.0,1.0,0.0
Ligne St Barth,Extra Mild Shampoo Spirulina ,Shampoo,"Drying,Acne Trigger",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Omorovicza,Moor Cream Cleanser,Face Cleanser,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Dove,Deep Moisture Body & Face Wash,Face Cleanser,"Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,Oily,0.0,0.0,1.0,0.0,0.0
Aveeno,Skin Relief Intense Moisture Repair Cream,General Moisturizer,"Redness Reducing,Anti-Aging,May Worsen Oily Skin,Acne Trigger",,,"Oily, Sensitive",1.0,0.0,1.0,0.0,0.0
L'Oreal,Elvive Repairing Shampoo with Protein,Shampoo,"Good For Oily Skin,Reduces Large Pores,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Marie-Stella-Maris,No.73 Poivre Noir Frais Body Wash,Bath & Body,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
L'Oreal,Elvive Extraordinary Oil Conditioner ,Conditioner,"Brightening,Acne Trigger,Eczema",,,"Oily, Combination",0.0,1.0,1.0,0.0,0.0
Schwarzkopf Professional,OSIS+ TOPPED UP 1 Gentle Hold Mousse,Other Haircare,"Reduces Irritation,Reduces Large Pores,Anti-Aging,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,"Oily, Combination",0.0,1.0,1.0,0.0,0.0
KIKO Milano,Smart Charge Drops,Serum,"Brightening,Rosacea,Eczema",,,"Oily, Combination, Sensitive",1.0,1.0,1.0,0.0,0.0
Verb,Dry Shampoo for Dark Hair,Shampoo,"Drying,May Worsen Oily Skin,Acne Trigger,Eczema",,,"Oily, Combination, Sensitive",1.0,1.0,1.0,0.0,0.0
Lancôme,Rénergie Lift Multi-Action Eye,Eye Moisturizer,"May Worsen Oily Skin,Acne Trigger,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Missha,All Around Safe Block Waterproof Sun Milk SPF50+/PA++++,Sunscreen,"Brightening,May Worsen Oily Skin,Acne Trigger,Rosacea,Eczema",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
Soap & Glory,Smoothie Star Exfoliating Breakfast Body Scrub,Bath & Body,"Reduces Large Pores,Scar Healing,Drying,Acne Trigger,Irritating,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Dove,Men+Care Clean Comfort Body and Face Wash,Bath & Body,"Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,"Normal, Dry, Oily, Combination",0.0,1.0,1.0,1.0,1.0
Isispharma,RUBORIL Expert SPF50+,Sunscreen,"Reduces Irritation,Drying,Irritating,Rosacea,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Nivea,Aqua Sensation Invigorating Day Cream,Day Moisturizer,"Redness Reducing,Anti-Aging,Acne Trigger,Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Nivea,UV Face Q10 Anti-age Sun Cream SPF 50,Sunscreen,"Brightening,Drying,Acne Trigger,Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Ultra Violette,Queen Screen Lightweight Skinscreen SPF50+,Sunscreen,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Joico,Zero Heat Air Dry Styling Crème For Fine/Medium Hair,Other Haircare,"Reduces Large Pores,Drying,Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Emma Hardie,Protect And Prime SPF30,Sunscreen,"Brightening,May Worsen Oily Skin,Irritating,Rosacea,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Nivea,UV Face Anti-Age & Anti-Pigment Sun Cream SPF50,Sunscreen,"Brightening,Drying,Acne Trigger,Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Queen Helene,Cocoa Butter Hand & Body Lotion,Bath & Body,"Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Neutrogena,Ultra Light Face Cleansing Oil & Makeup Remover,Makeup Remover,"May Worsen Oily Skin,Acne Trigger",,,Dry,0.0,0.0,0.0,1.0,0.0
Cetaphil,Moisturizing Relief Body Wash,Bath & Body,"Hydrating,Drying,May Worsen Oily Skin,Acne Trigger",,,Oily,0.0,0.0,1.0,0.0,0.0
Watsons,Soothing Foam Cleanser - Cica & Sunflower ,Face Cleanser,"Redness Reducing,Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
The Body Shop,Vitamin E Moisture-Protect Emulsion SPF30,Day Moisturizer,"Brightening,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Sensitive",1.0,0.0,1.0,1.0,1.0
Chanel,Bleu De Chanel After Shave Lotion,Bath & Body,"Reduces Large Pores,Drying,Irritating,Rosacea",,,"Oily, Sensitive",1.0,0.0,1.0,0.0,0.0
Botanics,Organic Day Cream,Day Moisturizer,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,"Oily, Combination, Sensitive",1.0,1.0,1.0,0.0,0.0
Esfolio,Rose Essence Mask Sheet,Sheet Mask,Rosacea,,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
Creed,Aventus Shower Gel,Bath & Body,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,Oily,0.0,0.0,1.0,0.0,0.0
innisfree,Olive Real Cleansing Foam,Face Cleanser,"Drying,May Worsen Oily Skin,Acne Trigger,Rosacea,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
L'Oreal,Volume Million Lashes,Eye Makeup,"Drying,May Worsen Oily Skin,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
L'Oreal,Sublime Bronze Self-Tanning Lotion ,Tanning,"Anti-Aging,Scar Healing,Brightening,Acne Trigger,Irritating",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Symbiosis London,Enlightening & Exfoliating Cleansing Gel,Face Cleanser,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Paul Mitchell,Original Awapuhi Shampoo,Shampoo,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Elizabeth Arden,Eight Hour® Cream Sun Defense for Face SPF 50 Sunscreen,Sunscreen,"Anti-Aging,Scar Healing,Brightening,Irritating,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Peter Thomas Roth,Hungarian Thermal Water Mineral-Rich Atomic Heat Mask,Wet Mask,"Anti-Aging,Scar Healing,Brightening,Acne Trigger,Irritating,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Sebastian Professional,Whipped Crème Hair Styling Cream for Curly & Wavy Hair,Other Haircare,"Reduces Irritation,May Worsen Oily Skin,Acne Trigger",,,Dry,0.0,0.0,0.0,1.0,0.0
Mielle Organics,Babassu Conditioning Sulfate-Free Shampoo,Shampoo,"Reduces Large Pores,Drying,Irritating,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Skinfood,Lettuce and Cucumber Watery Emulsion,Emulsion,"May Worsen Oily Skin,Acne Trigger,Rosacea",,,Oily,0.0,0.0,1.0,0.0,0.0
Sudocrem,Antiseptic Healing Cream,Facial Treatment,"Reduces Large Pores,Drying,May Worsen Oily Skin,Irritating",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Missha,M Perfect Cover BB Cream SPF 42,General Moisturizer,"Redness Reducing,Reduces Irritation,Anti-Aging,Scar Healing,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,Dry,0.0,0.0,0.0,1.0,0.0
Eucerin,Daily Protection Face Lotion Broad Spectrum SPF 30,Day Moisturizer,"Redness Reducing,Reduces Large Pores,Anti-Aging,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
StriVectin,Peptight™ Tightening Neck Serum Roller,Serum,"Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination",0.0,1.0,1.0,1.0,1.0
Clarins,Gentle Foaming Cleanser with Tamarind,Face Cleanser,May Worsen Oily Skin,,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Suave,Invisible Solid Antiperspirant Deodorant - Cocoa Butter & Shea ,Bath & Body,"May Worsen Oily Skin,Acne Trigger",,,Dry,0.0,0.0,0.0,1.0,0.0
LUSH,Co-Mingle,Bath & Body,"Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,Oily,0.0,0.0,1.0,0.0,0.0
It’s a 10,Silk Express Miracle Silk Shampoo ,Shampoo,"Reduces Irritation,Reduces Large Pores,Drying,May Worsen Oily Skin,Irritating,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Versace,Bright Crystal Body Lotion,Bath & Body,Acne Trigger,,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Yves Saint Laurent,Touche Eclat All-In-One Glow Foundation - B40 Sand,Face Makeup,"Reduces Irritation,Brightening,Drying,Acne Trigger,Irritating",,,Dry,0.0,0.0,0.0,1.0,0.0
Amika,Supernova Moisture and Shine Cream,Other Haircare,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Eczema",,,Dry,0.0,0.0,0.0,1.0,0.0
Exuviance,Achieve Lift Volumizing Concentrate ,Facial Treatment,"Reduces Large Pores,Anti-Aging,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,"Oily, Combination, Sensitive",1.0,1.0,1.0,0.0,0.0
The Face Shop,Rice Water Bright Cleansing Wipes,Makeup Remover,"Drying,Acne Trigger",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Armani Beauty,Power Fabric Foundation SPF 25 - 6.25 Medium to Tan with Neutral Undertone,Face Makeup,"Brightening,Irritating,Eczema",,,Sensitive,1.0,0.0,0.0,0.0,0.0
Esfolio,Egg Cleansing Foam,Face Cleanser,"Drying,May Worsen Oily Skin,Acne Trigger",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
The OMI Brotherhood,Sun Bears Active Protect Milk SPF 50+ PA++++,Sunscreen,"Brightening,Acne Trigger,Irritating,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Amika,Supernova Blonde Moisture and Shine Cream,Other Haircare,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Eczema",,,Oily,0.0,0.0,1.0,0.0,0.0
Hawaiian Tropic,Aloha Care Protective Face Lotion,Sunscreen,"Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Sensitive",1.0,0.0,1.0,1.0,1.0
Dernier Cosmetics,Sun Care Coco SPF 50+,Sunscreen,"May Worsen Oily Skin,Acne Trigger,Irritating,Eczema",,,"Normal, Oily",0.0,0.0,1.0,0.0,1.0
Nexxus,Ultralight Smooth Weightless Protection Conditioner,Conditioner,"Reduces Large Pores,Anti-Aging,Brightening,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
Cetaphil,Smoothing Relief Exfoliating Body Wash,Bath & Body,"Good For Oily Skin,Reduces Large Pores,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Kose Cosmeport,Suncut UV Perfect Essence Super Waterproof SPF 50+ PA++++,Sunscreen,"Hydrating,Reduces Irritation,Anti-Aging,Irritating,Rosacea,Eczema",,,"Normal, Dry, Oily, Combination, Sensitive",1.0,1.0,1.0,1.0,1.0
Lancôme,Tonique Douceur Softening Hydrating Toner with Rose Water,Toner,,,,Dry,0.0,0.0,0.0,1.0,0.0
Aquolina,Pink Sugar Eau de Toilette,Fragrance,"Irritating,Rosacea",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
VZK,Soothing Cream for Problematic Skin,General Moisturizer,"Reduces Large Pores,Anti-Aging,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,"Normal, Dry",0.0,0.0,0.0,1.0,1.0
